Date,Price,Oil_Price,USD_Index,Trade_Weighted_Dollar,CPI,Volume,US_Tariff_Index,Sanction_Intensity,Russia_Sanction_Intensity,Price_cap,Oil_lag1,Oil_lag7,Oil_ma7,USD_lag1,USD_lag7,USD_ma7
2010-11-16,1338.300048828125,82.33,91.1102,98.9382709316842,219.59,67.0,98.38835719404962,0.0,10.0,1338.300048828125,,,,,,
2010-11-17,1336.800048828125,80.43,90.9282,100.46246505445862,219.59,50.0,99.61026341673454,0.0,10.0,1336.800048828125,82.33,,,91.1102,,
2010-11-18,1352.9000244140625,81.88,90.649,100.86060822343096,219.59,58.0,100.47104998190476,0.0,10.0,1352.9000244140625,80.43,,,90.9282,,
2010-11-19,1352.199951171875,81.65,90.6986,100.15832878979631,219.59,75.0,100.4147736613618,0.0,10.0,1352.199951171875,81.88,,,90.649,,
2010-11-20,1354.0332845052083,81.51333333333334,90.69983333333333,100.43078210227127,219.59,52.33333333333333,100.62221552592356,0.0,10.0,1354.0332845052083,81.65,,,90.6986,,
2010-11-21,1355.8666178385417,81.37666666666667,90.70106666666666,100.7032354147462,219.59,29.666666666666664,100.82965739048534,0.0,10.0,1355.8666178385417,81.51333333333334,,,90.69983333333333,,
2010-11-22,1357.699951171875,81.24,90.7023,100.97568872722115,219.59,7.0,101.0370992550471,0.0,10.0,1357.699951171875,81.37666666666667,,81.48857142857142,90.70106666666666,,90.78417142857143
2010-11-23,1377.5,80.79,91.4318,101.9101816854294,219.59,15.0,101.04726867968834,0.0,10.0,1377.5,81.24,82.33,81.26857142857143,90.7023,91.1102,90.83011428571429
2010-11-24,1372.9000244140625,83.21,91.2179,100.72320604631578,219.59,3.0,100.66317495609866,0.0,10.0,1372.9000244140625,80.79,80.43,81.66571428571429,91.4318,90.9282,90.8715
2010-11-25,1367.6000366210938,83.53999999999999,91.51655000000001,99.53261912458328,219.59,69209.5,100.01464711590573,0.0,10.0,1367.6000366210938,83.21,81.88,81.90285714285714,91.2179,90.649,90.9954357142857
2010-11-26,1362.300048828125,83.87,91.8152,98.34203220285076,219.59,138416.0,99.36611927571282,0.0,10.0,1362.300048828125,83.53999999999999,81.65,82.22,91.51655000000001,90.6986,91.15495
2010-11-27,1363.5333658854167,84.49000000000001,91.94336666666668,99.06755423679027,219.59,123772.66666666667,99.29705814215585,0.0,10.0,1363.5333658854167,83.87,81.51333333333334,82.6452380952381,91.8152,90.69983333333333,91.33259761904763
2010-11-28,1364.7666829427083,85.11,92.07153333333333,99.79307627072977,219.59,109129.33333333333,99.22799700859889,0.0,10.0,1364.7666829427083,84.49000000000001,81.37666666666667,83.17857142857143,91.94336666666668,90.70106666666666,91.52837857142858
2010-11-29,1366.0,85.73,92.1997,100.51859830466928,219.59,94486.0,99.15893587504192,0.0,10.0,1366.0,85.11,81.24,83.82000000000001,92.07153333333333,90.7023,91.74229285714286
2010-11-30,1385.0,84.12,92.1494,102.6841023378694,219.59,8378.0,99.53124192678628,0.0,10.0,1385.0,85.73,80.79,84.2957142857143,92.1997,91.4318,91.84480714285714
2010-12-01,1387.300048828125,86.75,91.6799,97.54081728377544,220.472,4759.0,99.46553624937056,0.0,10.0,1387.300048828125,84.12,83.21,84.80142857142857,92.1494,91.2179,91.91080714285714
2010-12-02,1388.5,87.98,91.2651,100.21613086364752,220.472,1550.0,100.6731639218542,0.0,10.0,1388.5,86.75,83.53999999999999,85.4357142857143,91.6799,91.51655000000001,91.87488571428572
2010-12-03,1405.4000244140625,89.18,90.8788,99.35605007597132,220.472,354635.0,100.92054080722426,0.0,10.0,1405.4000244140625,87.98,83.87,86.19428571428571,91.2651,91.8152,91.74111428571429
2010-12-04,1408.7000325520833,89.23,90.92476666666667,98.98500463660847,220.472,236701.0,100.75238440623627,0.0,10.0,1408.7000325520833,89.18,84.49000000000001,86.87142857142858,90.8788,91.94336666666668,91.59559999999999
2010-12-05,1412.0000406901042,89.28,90.97073333333333,98.61395919724562,220.472,118767.0,100.58422800524828,0.0,10.0,1412.0000406901042,89.23,85.11,87.46714285714286,90.92476666666667,92.07153333333333,91.43834285714286
2010-12-06,1415.300048828125,89.33,91.0167,98.24291375788276,220.472,833.0,100.4160716042603,0.0,10.0,1415.300048828125,89.28,85.73,87.98142857142857,90.97073333333333,92.1997,91.26934285714286
2010-12-07,1408.300048828125,88.69,90.9732,104.03985169138883,220.472,866.0,100.36542408696728,0.0,10.0,1408.300048828125,89.33,84.12,88.63428571428572,91.0167,92.1494,91.10131428571428
2010-12-08,1382.5,88.3,91.3376,103.29496189969235,220.472,1675.0,99.83665620081416,0.0,10.0,1382.5,88.69,86.75,88.85571428571428,90.9732,91.6799,91.05241428571428
2010-12-09,1392.0999755859375,88.35,91.3923,98.4301198942027,220.472,971.0,99.47728275066912,0.0,10.0,1392.0999755859375,88.3,87.98,88.90857142857143,91.3376,91.2651,91.07058571428571
2010-12-10,1384.300048828125,87.81,91.2831,100.82028778089678,220.472,457.0,99.68581497378422,0.0,10.0,1384.300048828125,88.35,89.18,88.71285714285715,91.3923,90.8788,91.12834285714287
2010-12-11,1388.6333821614583,88.08,91.14996666666667,100.18778007649264,220.472,369.0,99.85130264927753,0.0,10.0,1388.6333821614583,87.81,89.23,88.54857142857144,91.2831,90.92476666666667,91.16051428571429
2010-12-12,1392.9667154947917,88.35000000000001,91.01683333333334,99.5552723720885,220.472,281.0,100.01679032477085,0.0,10.0,1392.9667154947917,88.08,89.28,88.4157142857143,91.14996666666667,90.97073333333333,91.1671
2010-12-13,1397.300048828125,88.62,90.8837,98.92276466768436,220.472,193.0,100.18227800026416,0.0,10.0,1397.300048828125,88.35000000000001,89.33,88.31428571428572,91.01683333333334,91.0167,91.14810000000001
2010-12-14,1403.5999755859375,88.33,90.764,100.46557588693447,220.472,431.0,100.50852681847914,0.0,10.0,1403.5999755859375,88.62,88.69,88.26285714285713,90.8837,90.9732,91.11821428571429
2010-12-15,1385.5,88.66,91.094,102.40252824566396,220.472,215.0,100.3414491802494,0.0,10.0,1385.5,88.33,88.3,88.31428571428572,90.764,91.3376,91.0834142857143
